date,Sales,Gallons
2007-11-19,,
2007-11-26,,
2007-12-03,,
2007-12-10,,
2007-12-17,,
2007-12-24,,
2007-12-31,,
2007-12-31,,
2008-01-07,,
2008-01-14,,
2008-01-21,,
2008-01-28,,
2008-01-28,,
2008-02-04,,
2008-02-11,,
2008-02-18,,
2008-02-25,,
2008-02-25,,
2008-03-03,,
2008-03-10,,
2008-03-17,,
2008-03-24,,
2008-03-31,,
2008-03-31,,
2008-04-07,,
2008-04-14,,
2008-04-21,,
2008-04-28,,
2008-04-28,,
2008-05-05,,
2008-05-12,,
2008-05-19,,
2008-05-26,,
2008-06-02,,
2008-06-09,,
2008-06-16,,
2008-06-23,,
2008-06-30,,
2008-06-30,,
2008-07-07,,
2008-07-14,,
2008-07-21,,
2008-07-28,,
2008-07-28,,
2008-08-04,,
2008-08-11,,
2008-08-18,,
2008-08-25,,
2008-09-01,,
2008-09-08,,
2008-09-15,,
2008-09-22,,
2008-09-29,,
2008-09-29,,
2008-10-06,,
2008-10-13,,
2008-10-20,,
2008-10-27,,
2008-11-03,,
2008-11-10,,
2008-11-17,,
2008-11-24,,
2008-12-01,,
2008-12-08,,
2008-12-15,,
2008-12-22,,
2008-12-29,,
2008-12-29,,
2009-01-05,,
2009-01-12,,
2009-01-19,,
2009-01-26,,
2009-02-02,,
2009-02-09,,
2009-02-16,,
2009-02-23,,
2009-03-02,,
2009-03-09,,
2009-03-16,,
2009-03-23,,
2009-03-30,,
2009-03-30,,
2009-04-06,,
2009-04-13,,
2009-04-20,,
2009-04-27,,
2009-04-27,,
2009-05-04,,
2009-05-11,,
2009-05-18,,
2009-05-25,,
2009-06-01,,
2009-06-08,,
2009-06-15,,
2009-06-22,,
2009-06-29,,
2009-06-29,,
2009-07-06,,
2009-07-13,,
2009-07-20,,
2009-07-27,,
2009-08-03,,
2009-08-10,,
2009-08-17,,
2009-08-24,,
2009-08-31,,
2009-08-31,,
2009-09-07,,
2009-09-14,,
2009-09-21,,
2009-09-28,,
2009-09-28,,
2009-10-05,,
2009-10-12,,
2009-10-19,,
2009-10-26,,
2009-11-02,,
2009-11-09,,
2009-11-16,,
2009-11-23,,
2009-11-30,,
2009-11-30,,
2009-12-07,,
2009-12-14,,
2009-12-21,,
2009-12-28,,
2010-01-11,,
2010-01-18,,
2010-01-25,,
2010-02-01,,
2010-02-08,,
2010-02-15,,
2010-02-22,,
2010-03-01,,
2010-03-08,,
2010-03-15,,
2010-03-22,,
2010-03-29,,
2010-04-05,,
2010-04-05,,
2010-04-12,,
2010-04-19,,
2010-04-26,,
2010-05-03,,
2010-05-10,,
2010-05-17,,
2010-05-24,,
2010-05-31,,
2010-06-07,,
2010-06-14,,
2010-06-21,,
2010-06-28,,
2010-07-05,,
2010-07-05,,
2010-07-12,,
2010-07-19,,
2010-07-26,,
2010-08-02,,
2010-08-09,,
2010-08-16,,
2010-08-23,,
2010-08-30,,
2010-09-06,,
2010-09-06,,
2010-09-13,,
2010-09-20,,
2010-09-27,,
2010-10-04,,
2010-10-04,,
2010-10-11,,
2010-10-18,,
2010-10-25,,
2010-11-01,,
2010-11-08,,
2010-11-15,,
2010-11-22,,
2010-11-29,,
2010-12-06,,
2010-12-06,,
2010-12-13,,
2010-12-20,,
2010-12-27,,
2011-01-03,,
2011-01-10,,
2011-01-17,,
2011-01-24,,
2011-01-31,,
2011-02-07,,
2011-02-07,,
2011-02-14,,
2011-02-21,,
2011-02-28,,
2011-03-07,,
2011-03-07,,
2011-03-14,,
2011-03-21,,
2011-03-28,,
2011-04-04,,
2011-04-04,,
2011-04-11,,
2011-04-18,,
2011-04-25,,
2011-05-02,,
2011-05-09,,
2011-05-16,,
2011-05-23,,
2011-05-30,,
2011-06-06,,
2011-06-06,,
2011-06-13,,
2011-06-20,,
2011-06-27,,
2011-07-04,,
2011-07-04,,
2011-07-11,,
2011-07-18,,
2011-07-25,,
2011-08-01,,
2011-08-08,,
2011-08-15,,
2011-08-22,,
2011-08-29,,
2011-09-05,,
2011-09-05,,
2011-09-12,,
2011-09-19,,
2011-09-26,,
2011-10-03,,
2011-10-10,,
2011-10-17,,
2011-10-24,,
2011-10-31,,
2011-11-07,,
2011-11-07,,
2011-11-14,,
2011-11-21,,
2011-11-28,,
2011-12-05,,
2011-12-05,,
2011-12-12,,
2011-12-19,,
2011-12-26,,
2012-01-02,,
2012-01-02,,
2012-01-09,,
2012-01-16,,
2012-01-23,,
2012-01-30,,
2012-01-30,,
2012-02-06,,
2012-02-13,,
2012-02-20,,
2012-02-27,,
2012-02-27,,
2012-03-05,,
2012-03-12,,
2012-03-19,,
2012-03-26,,
2012-04-02,,
2012-04-09,,
2012-04-16,,
2012-04-23,,
2012-04-30,,
2012-04-30,,
2012-05-07,,
2012-05-14,,
2012-05-21,,
2012-05-28,,
2012-05-28,,
2012-06-04,,
2012-06-11,,
2012-06-18,,
2012-06-25,,
2012-07-02,,
2012-07-09,,
2012-07-16,,
2012-07-23,,
2012-07-30,,
2012-07-30,,
2012-08-06,,
2012-08-13,,
2012-08-20,,
2012-08-27,,
2012-09-03,,
2012-09-10,,
2012-09-17,,
2012-09-24,,
2012-10-01,,
2012-10-08,,
2012-10-15,,
2012-10-22,,
2012-10-29,,
2012-10-29,,
2012-11-05,,
2012-11-12,,
2012-11-19,,
2012-11-26,,
2012-12-03,,
2012-12-10,,
2012-12-17,,
2012-12-24,,
2012-12-31,,
2012-12-31,,
2013-01-07,,
2013-01-14,,
2013-01-21,,
2013-01-28,,
2013-01-28,,
2013-02-04,,
2013-02-11,,
2013-02-18,,
2013-02-25,,
2013-02-25,,
2013-03-04,,
2013-03-11,,
2013-03-18,,
2013-03-25,,
2013-04-01,,
2013-04-08,,
2013-04-15,,
2013-04-22,,
2013-04-29,,
2013-04-29,,
2013-05-06,,
2013-05-13,,
2013-05-20,,
2013-05-27,,
2013-06-03,,
2013-06-10,,
2013-06-17,,
2013-06-24,,
2013-07-01,,
2013-07-08,,
2013-07-15,,
2013-07-22,,
2013-07-29,,
2013-07-29,,
2013-08-05,,
2013-08-12,,
2013-08-19,,
2013-08-26,,
2013-09-02,,
2013-09-09,,
2013-09-16,,
2013-09-23,,
2013-09-30,,
2013-09-30,,
2013-10-07,,
2013-10-14,,
2013-10-21,,
2013-10-28,,
2013-10-28,,
2013-11-04,,
2013-11-11,,
2013-11-18,,
2013-11-25,,
2013-12-02,,
2013-12-09,,
2013-12-16,,
2013-12-23,,
2013-12-30,,
2013-12-30,,
2014-01-06,,
2014-01-13,,
2014-01-20,,
2014-01-27,,
2014-02-03,,
2014-02-10,,
2014-02-17,,
2014-02-24,,
2014-03-03,,
2014-03-10,,
2014-03-17,,
2014-03-24,,
2014-03-31,,
2014-03-31,,
2014-04-07,433.68,
2014-04-14,0.01,
2014-04-21,135.84,3
2014-04-28,1380.55,20
2014-04-28,915.68,32
2014-05-05,1031.08,19
2014-05-12,1589.99,38
2014-05-19,1291.52,28
2014-05-26,1858.1,50
2014-06-02,2492.11,65
2014-06-09,2868.58,70
2014-06-16,2166.2,67
2014-06-23,2604.33,69
2014-06-30,384.67,8
2014-06-30,1712.34,68
2014-07-07,5449.13,180
2014-07-14,2086.6,50
2014-07-21,2082.2,48
2014-07-28,2101.93,29
2014-07-28,1603.15,45
2014-08-04,2396.97,77
2014-08-11,5087.3,126
2014-08-18,7410.12,257
2014-08-25,3547.92,82
2014-09-01,2819.85,61
2014-09-08,2159.39,55
2014-09-15,4680.91,137
2014-09-22,1678.97,67
2014-09-29,2295.5,52
2014-09-29,2588.95,88
2014-10-06,4566.27,110
2014-10-13,3326.91,97
2014-10-20,3704.67,79
2014-10-27,1417.61,34
2014-10-27,114.38,2
2014-11-03,3011.63,78
2014-11-10,3078.39,78
2014-11-17,4046.19,80
2014-11-24,2705.8,68
2014-12-01,2316,69
2014-12-08,3946.35,95
2014-12-15,1714.13,44
2014-12-22,620.87,12
2014-12-29,483.69,11
2014-12-29,357.8,7
2015-01-05,1385.41,28
2015-01-12,2105.32,59
2015-01-19,1190.48,18
2015-01-26,3079.95,59
2015-02-02,1629.49,54
2015-02-09,3746,103
2015-02-16,3413.55,115
2015-02-23,2542.98,89
2015-03-02,2890.88,64
2015-03-09,6658.87,197
2015-03-16,5543.92,230
2015-03-23,2271.65,9
2015-03-30,1869.51,52
2015-03-30,2663.97,68
2015-04-06,4226.08,143
2015-04-13,3603.68,95
2015-04-20,4496.57,107
2015-04-27,1881.36,57
2015-04-27,719.49,16
2015-05-04,2543.88,55
2015-05-11,2776.65,55
2015-05-18,3573.66,114
2015-05-25,2760.63,79
2015-06-01,3614.69,87
2015-06-08,5493.64,149
2015-06-15,7323.57,199
2015-06-22,4051.11,109
2015-06-29,3050.56,88
2015-06-29,3735.07,112
2015-07-06,3428.77,107
2015-07-13,4282.8,128
2015-07-20,2190.02,65
2015-07-27,3788.63,106
2015-07-27,581.54,12
2015-08-03,5494.97,137
2015-08-10,5736.69,137
2015-08-17,3832.73,115
2015-08-24,6172.63,233
2015-08-31,700.88,29
2015-08-31,4333.07,120
2015-09-07,3600.31,112
2015-09-14,5831.5,147
2015-09-21,5576.08,193
2015-09-28,6847.27,211
2015-09-28,4457.25,111
2015-10-05,6994.28,189
2015-10-12,4333.43,138
2015-10-19,4235.87,115
2015-10-26,4425.58,117
2015-11-02,3367.7,79
2015-11-09,7205.34,170
2015-11-16,5220.47,146
2015-11-23,3482.46,102
2015-11-30,304.75,5
2015-11-30,2321.89,57
2015-12-07,4691.7,120
2015-12-14,2032.27,55
2015-12-21,3300.2,76
2015-12-28,7953.61,32
2016-01-04,,
2016-01-11,3450.03,97
2016-01-18,4085.87,133
2016-01-25,3808.37,89
2016-02-01,5210.79,166
2016-02-08,1535.16,37
2016-02-15,3634.05,89
2016-02-22,4293.41,128
2016-02-29,8732.53,263
2016-03-07,2095.86,67
2016-03-07,4495.54,131
2016-03-14,5432.59,148
2016-03-21,7236.6,253
2016-03-28,5769.02,168
2016-04-04,2569.58,63
2016-04-04,1913.85,39
2016-04-11,4487.04,133
2016-04-18,9079.17,257
2016-04-25,5022.28,170
2016-05-02,2542.76,81
2016-05-09,8202.04,248
2016-05-16,4847.87,143
2016-05-23,4256.97,117
2016-05-30,3380.02,86
2016-06-06,642.78,13
2016-06-06,2945.58,69
2016-06-13,4553.72,110
2016-06-20,14560.73,141
2016-06-27,5713.59,68
2016-07-04,3258.98,71
2016-07-04,698.68,21
2016-07-11,2501.15,70
2016-07-18,6373.66,226
2016-07-25,5886.74,178
2016-08-01,3165.91,90
2016-08-08,11610.27,303
2016-08-15,3493.27,75
2016-08-22,6326.67,206
2016-08-29,6358.33,180
2016-09-05,1255.27,40
2016-09-05,4093.41,125
2016-09-12,4001.19,104
2016-09-19,5226.26,148
2016-09-26,4817.65,143
2016-10-03,2731.02,87
2016-10-03,1541.79,39
2016-10-10,4161.81,105
2016-10-17,7119.3,192
2016-10-24,5293.88,169
2016-10-31,4730.7,114
2016-11-07,2056.15,74
2016-11-07,6303.42,205
2016-11-14,4005.09,103
2016-11-21,4242.65,158
2016-11-28,4088.5,120
2016-12-05,1387.42,36
2016-12-05,819.34,17
2016-12-12,4538.25,124
2016-12-19,5542.96,118
2016-12-26,2381.38,62
2017-01-02,1917.5,51
2017-01-02,3752.95,90
2017-01-09,9553.54,261
2017-01-16,4103.5,109
2017-01-23,4568.47,154
2017-01-30,2031.27,44
2017-01-30,2852.25,68
2017-02-06,3449.4,86
2017-02-13,3354.98,116
2017-02-20,3265.02,106
2017-02-27,791.45,18
2017-02-27,3925.02,100
2017-03-06,5180.97,138
2017-03-13,8190.39,188
2017-03-20,5742.32,155
2017-03-27,2437.54,61
2017-03-27,36.75,1
2017-04-03,4692.66,136
2017-04-10,5504.08,136
2017-04-17,7741.15,215
2017-04-24,5050.83,128
2017-05-01,6715.8,197
2017-05-08,6654.06,169
2017-05-15,6535.86,187
2017-05-22,4009.25,109
2017-05-29,744.37,19
2017-05-29,1661.77,59
2017-06-05,2966.52,78
2017-06-12,5238.41,107
2017-06-19,6449.68,170
2017-06-26,3403.43,85
2017-06-26,271.32,4
2017-07-03,3135.76,101
2017-07-10,2872.37,62
2017-07-17,3856.54,80
2017-07-24,3560.45,87
2017-07-31,218.64,4
2017-07-31,3243.41,83
2017-08-07,4231.47,104
2017-08-14,2568.48,69
2017-08-21,327.03,11
2017-08-28,,
2017-08-28,,
2017-09-04,,
2017-09-11,,
2017-09-18,,
2017-09-25,286.91,6
2017-10-02,6964.2,225
2017-10-09,2506.73,86
2017-10-16,2073.73,46
2017-10-23,2053.15,51
2017-10-30,870.44,15
2017-10-30,4036.32,121
2017-11-06,4494.13,99
2017-11-13,2979.88,65
2017-11-20,3924.11,103
2017-11-27,4096.59,99
2017-11-27,1395.72,31
2017-12-04,4046.81,115
2017-12-11,2987.77,47
2017-12-18,4625.34,119
2017-12-25,6037.02,199
2018-01-01,2875.68,89
2018-01-08,2302.88,66
2018-01-15,1695.24,40
2018-01-22,3819.86,96
2018-01-29,3518.9,101
2018-01-29,1762.23,41
2018-02-05,5301.54,126
2018-02-12,3470.47,62
2018-02-19,4076.7,105
2018-02-26,1545.01,37
2018-02-26,2122.79,48
2018-03-05,3853.77,75
2018-03-12,4684.84,124
2018-03-19,3572.24,93
2018-03-26,4119.97,90
2018-04-02,2814.95,52
2018-04-09,4264.76,146
2018-04-16,5453.94,203
2018-04-23,5380.63,159
2018-04-30,222.85,8
2018-04-30,4904.83,113
2018-05-07,7232.23,223
