Year,Week,Monthn,Sales,Gallons,date
2007,47,11,0,,2007-11-19
2007,48,11,4697.64,148,2007-11-26
2007,49,12,3233.57,88,2007-12-03
2007,50,12,4526.86,133,2007-12-10
2007,51,12,7291.96,250,2007-12-17
2007,52,12,12813.24,313,2007-12-24
2007,53,12,191.8,3,2007-12-31
2008,1,1,1838.45,60,2007-12-31
2008,2,1,5866.86,177,2008-01-07
2008,3,1,6429.57,206,2008-01-14
2008,4,1,8678.77,286,2008-01-21
2008,5,1,4167.37,128,2008-01-28
2008,5,2,826.23,28,2008-01-28
2008,6,2,6314.78,246,2008-02-04
2008,7,2,10472.98,326,2008-02-11
2008,8,2,7918.02,203,2008-02-18
2008,9,2,5137.51,200,2008-02-25
2008,9,3,903.78,23,2008-02-25
2008,10,3,7673.05,288,2008-03-03
2008,11,3,4343.8,124,2008-03-10
2008,12,3,8112.31,203,2008-03-17
2008,13,3,10416.97,389,2008-03-24
2008,14,3,2223.52,160,2008-03-31
2008,14,4,8072.14,269,2008-03-31
2008,15,4,8749.44,313,2008-04-07
2008,16,4,6093.43,157,2008-04-14
2008,17,4,7732.51,244,2008-04-21
2008,18,4,3745.72,105,2008-04-28
2008,18,5,2450.58,67,2008-04-28
2008,19,5,8066.75,258,2008-05-05
2008,20,5,7230.91,237,2008-05-12
2008,21,5,8080.74,265,2008-05-19
2008,22,5,6561.35,184,2008-05-26
2008,23,6,7007.43,247,2008-06-02
2008,24,6,9467.75,312,2008-06-09
2008,25,6,8570.11,326,2008-06-16
2008,26,6,9278.15,296,2008-06-23
2008,27,6,2112.88,66,2008-06-30
2008,27,7,4722.83,146,2008-06-30
2008,28,7,9338.59,295,2008-07-07
2008,29,7,10700.75,495,2008-07-14
2008,30,7,7910.19,254,2008-07-21
2008,31,7,7208.03,337,2008-07-28
2008,31,8,1020.27,26,2008-07-28
2008,32,8,6034,181,2008-08-04
2008,33,8,8620.77,415,2008-08-11
2008,34,8,6548.22,202,2008-08-18
2008,35,8,6689.16,240,2008-08-25
2008,36,9,4490.09,166,2008-09-01
2008,37,9,5146.23,133,2008-09-08
2008,38,9,8455.88,256,2008-09-15
2008,39,9,11401.65,494,2008-09-22
2008,40,9,1373.22,35,2008-09-29
2008,40,10,2596.71,178,2008-09-29
2008,41,10,5159.75,142,2008-10-06
2008,42,10,5874.58,142,2008-10-13
2008,43,10,4965.32,107,2008-10-20
2008,44,10,6486.15,266,2008-10-27
2008,45,11,3750.42,89,2008-11-03
2008,46,11,6410.52,176,2008-11-10
2008,47,11,5246.42,143,2008-11-17
2008,48,11,2452.37,64,2008-11-24
2008,49,12,5965.4,149,2008-12-01
2008,50,12,4569.98,121,2008-12-08
2008,51,12,5077.96,166,2008-12-15
2008,52,12,1938.32,75,2008-12-22
2008,53,12,2138.09,90,2008-12-29
2009,1,1,756.92,27,2008-12-29
2009,2,1,6308.17,192,2009-01-05
2009,3,1,5110.4,141,2009-01-12
2009,4,1,6298.37,233,2009-01-19
2009,5,1,3572.2,101,2009-01-26
2009,6,2,4171.12,167,2009-02-02
2009,7,2,4883.19,232,2009-02-09
2009,8,2,5376.05,248,2009-02-16
2009,9,2,9159.31,308,2009-02-23
2009,10,3,6976.73,252,2009-03-02
2009,11,3,6465.53,190,2009-03-09
2009,12,3,5604.9,255,2009-03-16
2009,13,3,4898.28,114,2009-03-23
2009,14,3,1620.02,38,2009-03-30
2009,14,4,3175.38,141,2009-03-30
2009,15,4,6969.2,242,2009-04-06
2009,16,4,7912.89,279,2009-04-13
2009,17,4,6386.68,214,2009-04-20
2009,18,4,2016.79,53,2009-04-27
2009,18,5,1713.71,130,2009-04-27
2009,19,5,6802.54,175,2009-05-04
2009,20,5,6579.93,190,2009-05-11
2009,21,5,7404.28,179,2009-05-18
2009,22,5,6664.57,263,2009-05-25
2009,23,6,6274.15,217,2009-06-01
2009,24,6,5951.56,181,2009-06-08
2009,25,6,9921.05,288,2009-06-15
2009,26,6,7034.66,228,2009-06-22
2009,27,6,2058.76,162,2009-06-29
2009,27,7,3850.53,116,2009-06-29
2009,28,7,4501.18,144,2009-07-06
2009,29,7,6182.88,196,2009-07-13
2009,30,7,6378.22,238,2009-07-20
2009,31,7,5282.88,230,2009-07-27
2009,32,8,7981.7,258,2009-08-03
2009,33,8,14504.74,1306,2009-08-10
2009,34,8,7384.14,326,2009-08-17
2009,35,8,10959.08,431,2009-08-24
2009,36,8,1997.28,75,2009-08-31
2009,36,9,6681.19,340,2009-08-31
2009,37,9,5828.82,174,2009-09-07
2009,38,9,5176.86,182,2009-09-14
2009,39,9,4644.07,187,2009-09-21
2009,40,9,4639.87,195,2009-09-28
2009,40,10,2915.45,210,2009-09-28
2009,41,10,4174.77,161,2009-10-05
2009,42,10,3953.82,131,2009-10-12
2009,43,10,6790.61,331,2009-10-19
2009,44,10,4496.85,184,2009-10-26
2009,45,11,6589.63,294,2009-11-02
2009,46,11,6833.16,276,2009-11-09
2009,47,11,6874.47,299,2009-11-16
2009,48,11,7190.36,319,2009-11-23
2009,49,11,1376.63,38,2009-11-30
2009,49,12,2174.6,53,2009-11-30
2009,50,12,5472.47,187,2009-12-07
2009,51,12,4231.15,160,2009-12-14
2009,52,12,2180.44,85,2009-12-21
2009,53,12,3494.08,122,2009-12-28
2010,2,1,3646.3,135,2010-01-11
2010,3,1,5647.54,195,2010-01-18
2010,4,1,6589.93,324,2010-01-25
2010,5,1,5214.27,211,2010-02-01
2010,6,2,5734.27,192,2010-02-08
2010,7,2,3995.76,135,2010-02-15
2010,8,2,4786.88,135,2010-02-22
2010,9,2,7495.4,526,2010-03-01
2010,10,3,4953.88,152,2010-03-08
2010,11,3,6771.4,236,2010-03-15
2010,12,3,5382.06,242,2010-03-22
2010,13,3,5231.44,231,2010-03-29
2010,14,3,3862.7,116,2010-04-05
2010,14,4,3565.83,236,2010-04-05
2010,15,4,7244.18,236,2010-04-12
2010,16,4,6089.18,190,2010-04-19
2010,17,4,5788.55,198,2010-04-26
2010,18,4,5963.71,212,2010-05-03
2010,19,5,6337.64,205,2010-05-10
2010,20,5,7625.19,356,2010-05-17
2010,21,5,7414.19,279,2010-05-24
2010,22,5,8224.01,345,2010-05-31
2010,23,6,10713.61,392,2010-06-07
2010,24,6,11604.51,470,2010-06-14
2010,25,6,9063.75,350,2010-06-21
2010,26,6,7497.71,324,2010-06-28
2010,27,6,2768.88,82,2010-07-05
2010,27,7,3431.79,93,2010-07-05
2010,28,7,6649.25,222,2010-07-12
2010,29,7,9411.93,468,2010-07-19
2010,30,7,9185.8,453,2010-07-26
2010,31,7,7307.63,318,2010-08-02
2010,32,8,8784.47,262,2010-08-09
2010,33,8,7955.01,260,2010-08-16
2010,34,8,6639.85,313,2010-08-23
2010,35,8,8113.14,431,2010-08-30
2010,36,8,3276.9,129,2010-09-06
2010,36,9,3529.74,92,2010-09-06
2010,37,9,4296.96,131,2010-09-13
2010,38,9,5188.33,181,2010-09-20
2010,39,9,6481.81,192,2010-09-27
2010,40,9,6357.32,268,2010-10-04
2010,40,10,698.78,21,2010-10-04
2010,41,10,6792.02,253,2010-10-11
2010,42,10,4715.98,194,2010-10-18
2010,43,10,7305.45,269,2010-10-25
2010,44,10,9154.05,361,2010-11-01
2010,45,11,5336.44,230,2010-11-08
2010,46,11,6384.98,333,2010-11-15
2010,47,11,6346.75,201,2010-11-22
2010,48,11,4932.91,208,2010-11-29
2010,49,11,2253.51,98,2010-12-06
2010,49,12,3389.85,106,2010-12-06
2010,50,12,4691.69,116,2010-12-13
2010,51,12,5512.9,153,2010-12-20
2010,52,12,3688.36,129,2010-12-27
2010,53,12,2778.61,151,2011-01-03
2011,2,1,5704.92,183,2011-01-10
2011,3,1,4039.83,125,2011-01-17
2011,4,1,4200.09,200,2011-01-24
2011,5,1,6010.56,227,2011-01-31
2011,6,1,1488.75,39,2011-02-07
2011,6,2,1572.98,49,2011-02-07
2011,7,2,2909.08,99,2011-02-14
2011,8,2,5405.74,183,2011-02-21
2011,9,2,5625.74,242,2011-02-28
2011,10,2,1149.16,40,2011-03-07
2011,10,3,3077.26,121,2011-03-07
2011,11,3,9822.98,284,2011-03-14
2011,12,3,6835.78,216,2011-03-21
2011,13,3,9291.04,308,2011-03-28
2011,14,3,8638.27,379,2011-04-04
2011,14,4,2656.01,118,2011-04-04
2011,15,4,4371.68,135,2011-04-11
2011,16,4,6826.79,198,2011-04-18
2011,17,4,4776.44,129,2011-04-25
2011,18,4,5553.99,190,2011-05-02
2011,19,5,7772.95,187,2011-05-09
2011,20,5,6946.12,231,2011-05-16
2011,21,5,12297.67,284,2011-05-23
2011,22,5,8228.67,249,2011-05-30
2011,23,5,1787.57,61,2011-06-06
2011,23,6,3655.98,87,2011-06-06
2011,24,6,5784.81,195,2011-06-13
2011,25,6,7860.29,308,2011-06-20
2011,26,6,6615.78,159,2011-06-27
2011,27,6,8304.83,219,2011-07-04
2011,27,7,1327.72,39,2011-07-04
2011,28,7,7846.06,295,2011-07-11
2011,29,7,7662.47,259,2011-07-18
2011,30,7,7317.08,249,2011-07-25
2011,31,7,6230.62,196,2011-08-01
2011,32,8,8134.18,281,2011-08-08
2011,33,8,8322.5,213,2011-08-15
2011,34,8,9510.35,404,2011-08-22
2011,35,8,5337.08,149,2011-08-29
2011,36,8,1860.85,56,2011-09-05
2011,36,9,2682.25,72,2011-09-05
2011,37,9,2550.28,72,2011-09-12
2011,38,9,6212.38,240,2011-09-19
2011,39,9,5114.4,131,2011-09-26
2011,40,9,6489.11,305,2011-10-03
2011,41,10,11843.28,522,2011-10-10
2011,42,10,6536.97,179,2011-10-17
2011,43,10,5280.71,194,2011-10-24
2011,44,10,6937.2,270,2011-10-31
2011,45,10,2095.93,122,2011-11-07
2011,45,11,4206.58,138,2011-11-07
2011,46,11,5664.1,174,2011-11-14
2011,47,11,7216.41,185,2011-11-21
2011,48,11,4134.35,119,2011-11-28
2011,49,11,4089.06,175,2011-12-05
2011,49,12,1260.28,45,2011-12-05
2011,50,12,4098.91,114,2011-12-12
2011,51,12,3699.06,119,2011-12-19
2011,52,12,2433.99,54,2011-12-26
2011,53,12,3961.41,100,2012-01-02
2012,1,1,4461.91,88,2012-01-02
2012,2,1,3900.35,72,2012-01-09
2012,3,1,3685.75,90,2012-01-16
2012,4,1,3423.01,66,2012-01-23
2012,5,1,1111.02,30,2012-01-30
2012,5,2,1546.15,30,2012-01-30
2012,6,2,3664.26,77,2012-02-06
2012,7,2,5592.77,200,2012-02-13
2012,8,2,5375.23,156,2012-02-20
2012,9,2,4677.74,106,2012-02-27
2012,9,3,3297.9,73,2012-02-27
2012,10,3,5646.5,223,2012-03-05
2012,11,3,4006.98,104,2012-03-12
2012,12,3,3342.26,79,2012-03-19
2012,13,3,4707.07,161,2012-03-26
2012,14,4,5333.45,140,2012-04-02
2012,15,4,9003.13,233,2012-04-09
2012,16,4,12175.58,454,2012-04-16
2012,17,4,7166.09,145,2012-04-23
2012,18,4,1097.47,18,2012-04-30
2012,18,5,3322.38,92,2012-04-30
2012,19,5,6776.9,296,2012-05-07
2012,20,5,8505.1,297,2012-05-14
2012,21,5,9289.84,405,2012-05-21
2012,22,5,4470.26,141,2012-05-28
2012,22,6,685.75,5,2012-05-28
2012,23,6,9325.53,316,2012-06-04
2012,24,6,9584.99,304,2012-06-11
2012,25,6,9908.68,375,2012-06-18
2012,26,6,9343.21,222,2012-06-25
2012,27,7,3862.2,56,2012-07-02
2012,28,7,8422.28,249,2012-07-09
2012,29,7,10786.8,281,2012-07-16
2012,30,7,6043.37,119,2012-07-23
2012,31,7,4388.47,169,2012-07-30
2012,31,8,7490.29,168,2012-07-30
2012,32,8,14549.56,464,2012-08-06
2012,33,8,10381.33,310,2012-08-13
2012,34,8,4967.27,180,2012-08-20
2012,35,8,12182.16,486,2012-08-27
2012,36,9,4761.07,160,2012-09-03
2012,37,9,6343.48,171,2012-09-10
2012,38,9,3733.61,103,2012-09-17
2012,39,9,5866.54,166,2012-09-24
2012,40,10,4903.08,188,2012-10-01
2012,41,10,5563.85,120,2012-10-08
2012,42,10,5591.77,151,2012-10-15
2012,43,10,9438.17,226,2012-10-22
2012,44,10,2754.81,53,2012-10-29
2012,44,11,2234.44,60,2012-10-29
2012,45,11,9810.62,280,2012-11-05
2012,46,11,5390.37,147,2012-11-12
2012,47,11,2600.91,114,2012-11-19
2012,48,11,5182.54,166,2012-11-26
2012,49,12,4688.86,108,2012-12-03
2012,50,12,6600.33,224,2012-12-10
2012,51,12,6503.85,169,2012-12-17
2012,52,12,2262.07,60,2012-12-24
2012,53,12,142.66,3,2012-12-31
2013,1,1,1558.03,29,2012-12-31
2013,2,1,3471.13,68,2013-01-07
2013,3,1,4119.74,119,2013-01-14
2013,4,1,5861.67,92,2013-01-21
2013,5,1,3596.57,67,2013-01-28
2013,5,2,1082.57,27,2013-01-28
2013,6,2,5455.77,207,2013-02-04
2013,7,2,4391.75,92,2013-02-11
2013,8,2,4921.88,105,2013-02-18
2013,9,2,4009.44,140,2013-02-25
2013,9,3,668.53,8,2013-02-25
2013,10,3,6124.1,194,2013-03-04
2013,11,3,9917.56,242,2013-03-11
2013,12,3,7691.39,171,2013-03-18
2013,13,3,9401.36,229,2013-03-25
2013,14,4,3867.09,118,2013-04-01
2013,15,4,3460.18,72,2013-04-08
2013,16,4,3868.24,65,2013-04-15
2013,17,4,4793.52,202,2013-04-22
2013,18,4,2599.28,84,2013-04-29
2013,18,5,2565.11,65,2013-04-29
2013,19,5,9154.5,141,2013-05-06
2013,20,5,8119.11,191,2013-05-13
2013,21,5,13357.31,324,2013-05-20
2013,22,5,7175.16,183,2013-05-27
2013,23,6,8979.49,245,2013-06-03
2013,24,6,8368.28,197,2013-06-10
2013,25,6,8219.33,192,2013-06-17
2013,26,6,5692.38,114,2013-06-24
2013,27,7,6706.35,151,2013-07-01
2013,28,7,6105.75,120,2013-07-08
2013,29,7,6289.84,122,2013-07-15
2013,30,7,7836.37,175,2013-07-22
2013,31,7,3831.16,137,2013-07-29
2013,31,8,5428.72,138,2013-07-29
2013,32,8,8668.56,181,2013-08-05
2013,33,8,5056.37,97,2013-08-12
2013,34,8,5635.84,195,2013-08-19
2013,35,8,8852.28,336,2013-08-26
2013,36,9,4864.19,135,2013-09-02
2013,37,9,5481.4,142,2013-09-09
2013,38,9,7293.66,207,2013-09-16
2013,39,9,6961.74,185,2013-09-23
2013,40,9,1855.29,30,2013-09-30
2013,40,10,5217.09,158,2013-09-30
2013,41,10,4699.7,71,2013-10-07
2013,42,10,3936.09,67,2013-10-14
2013,43,10,6242.56,162,2013-10-21
2013,44,10,6971.02,187,2013-10-28
2013,44,11,973.56,13,2013-10-28
2013,45,11,8834.6,193,2013-11-04
2013,46,11,8152.74,192,2013-11-11
2013,47,11,4891.75,129,2013-11-18
2013,48,11,3181.25,58,2013-11-25
2013,49,12,6219.17,194,2013-12-02
2013,50,12,4842.63,121,2013-12-09
2013,51,12,4819.89,156,2013-12-16
2013,52,12,2014.67,35,2013-12-23
2013,53,12,2420.31,52,2013-12-30
2014,1,1,2204.8,53,2013-12-30
2014,2,1,4420.34,75,2014-01-06
2014,3,1,8775.73,248,2014-01-13
2014,4,1,5623.89,124,2014-01-20
2014,5,1,6754.09,204,2014-01-27
2014,6,2,4396.37,87,2014-02-03
2014,7,2,5450.77,172,2014-02-10
2014,8,2,4843.97,105,2014-02-17
2014,9,2,3971.78,87,2014-02-24
2014,10,3,8621.38,207,2014-03-03
2014,11,3,9540.59,248,2014-03-10
2014,12,3,10067.61,248,2014-03-17
2014,13,3,7489.36,159,2014-03-24
2014,14,3,2343.13,60,2014-03-31
2014,14,4,5374.54,102,2014-03-31
2014,15,4,9786.38,231,2014-04-07
2014,16,4,8684.25,233,2014-04-14
2014,17,4,9886.68,232,2014-04-21
2014,18,4,5308.87,109,2014-04-28
2014,18,5,7638.05,130,2014-04-28
2014,19,5,10011.54,234,2014-05-05
2014,20,5,5602.62,142,2014-05-12
2014,21,5,9123.09,206,2014-05-19
2014,22,5,5994.12,171,2014-05-26
2014,23,6,12621.53,263,2014-06-02
2014,24,6,7280.82,211,2014-06-09
2014,25,6,8002.47,176,2014-06-16
2014,26,6,11730.79,291,2014-06-23
2014,27,6,2391.3,65,2014-06-30
2014,27,7,6551.12,176,2014-06-30
2014,28,7,12119.11,363,2014-07-07
2014,29,7,7805.13,158,2014-07-14
2014,30,7,6724.76,139,2014-07-21
2014,31,7,5906.91,133,2014-07-28
2014,31,8,1997.74,48,2014-07-28
2014,32,8,10838.06,267,2014-08-04
2014,33,8,6872.28,118,2014-08-11
2014,34,8,7940.56,158,2014-08-18
2014,35,8,11151.82,276,2014-08-25
2014,36,9,5364.86,136,2014-09-01
2014,37,9,6896.4,155,2014-09-08
2014,38,9,10366.16,222,2014-09-15
2014,39,9,9543.75,162,2014-09-22
2014,40,9,2835.58,94,2014-09-29
2014,40,10,2201.42,48,2014-09-29
2014,41,10,5169.88,141,2014-10-06
2014,42,10,6446.61,175,2014-10-13
2014,43,10,5298.28,141,2014-10-20
2014,44,10,9482.85,141,2014-10-27
2014,44,11,,,2014-10-27
2014,45,11,5526.1,148,2014-11-03
2014,46,11,5389.39,116,2014-11-10
2014,47,11,3676.08,82,2014-11-17
2014,48,11,2516.84,136,2014-11-24
2014,49,12,4372.08,135,2014-12-01
2014,50,12,4632,129,2014-12-08
2014,51,12,10414.29,324,2014-12-15
2014,52,12,1636.54,36,2014-12-22
2014,53,12,2655.09,69,2014-12-29
2015,1,1,793.96,13,2014-12-29
2015,2,1,5408.7,116,2015-01-05
2015,3,1,5027.65,113,2015-01-12
2015,4,1,3508.61,89,2015-01-19
2015,5,1,8243.4,201,2015-01-26
2015,6,2,8083.39,202,2015-02-02
2015,7,2,8006.92,183,2015-02-09
2015,8,2,6306.69,152,2015-02-16
2015,9,2,3623.73,99,2015-02-23
2015,10,3,5351.61,99,2015-03-02
2015,11,3,6510.68,143,2015-03-09
2015,12,3,6666.45,134,2015-03-16
2015,13,3,14762.2,420,2015-03-23
2015,14,3,9823.41,363,2015-03-30
2015,14,4,6791.92,167,2015-03-30
2015,15,4,3409.42,-77,2015-04-06
2015,16,4,10992.4,265,2015-04-13
2015,17,4,9825.28,217,2015-04-20
2015,18,4,6844.77,169,2015-04-27
2015,18,5,1447.73,24,2015-04-27
2015,19,5,7846.48,200,2015-05-04
2015,20,5,12379.38,270,2015-05-11
2015,21,5,11666.72,306,2015-05-18
2015,22,5,15986.65,432,2015-05-25
2015,23,6,12120.79,283,2015-06-01
2015,24,6,12441.6,252,2015-06-08
2015,25,6,11265.35,267,2015-06-15
2015,26,6,9194.43,221,2015-06-22
2015,27,6,2807.61,55,2015-06-29
2015,27,7,4973.11,83,2015-06-29
2015,28,7,10506.94,269,2015-07-06
2015,29,7,12047.33,266,2015-07-13
2015,30,7,6725.65,293,2015-07-20
2015,31,7,8569.79,166,2015-07-27
2015,31,8,146.73,2,2015-07-27
2015,32,8,7084.31,199,2015-08-03
2015,33,8,10469.54,287,2015-08-10
2015,34,8,6864.6,187,2015-08-17
2015,35,8,7150.45,216,2015-08-24
2015,36,8,1178.17,35,2015-08-31
2015,36,9,7011.4,225,2015-08-31
2015,37,9,9131.12,211,2015-09-07
2015,38,9,8535.47,182,2015-09-14
2015,39,9,10572.36,353,2015-09-21
2015,40,9,4237.41,170,2015-09-28
2015,40,10,3146.11,59,2015-09-28
2015,41,10,13115.02,454,2015-10-05
2015,42,10,9162.5,199,2015-10-12
2015,43,10,7945.27,216,2015-10-19
2015,44,10,6212.85,175,2015-10-26
2015,45,11,8258.97,304,2015-11-02
2015,46,11,8405.17,289,2015-11-09
2015,47,11,6293.53,186,2015-11-16
2015,48,11,6603.39,206,2015-11-23
2015,49,11,306.21,4,2015-11-30
2015,49,12,4962.98,122,2015-11-30
2015,50,12,8017.45,194,2015-12-07
2015,51,12,7714.19,240,2015-12-14
2015,52,12,6180.57,158,2015-12-21
2015,53,12,4526.18,163,2015-12-28
2016,1,1,364.33,5,2016-01-04
2016,2,1,9179.29,494,2016-01-11
2016,3,1,9788.17,409,2016-01-18
2016,4,1,7311.39,288,2016-01-25
2016,5,1,10459.53,473,2016-02-01
2016,6,2,9743.71,415,2016-02-08
2016,7,2,10864.47,461,2016-02-15
2016,8,2,11084.44,507,2016-02-22
2016,9,2,12221.3,605,2016-02-29
2016,10,2,1710.23,51,2016-03-07
