date,Sales,Gallons
2007-11-19,0,
2007-11-26,4697.64,148
2007-12-03,3233.57,88
2007-12-10,4526.86,133
2007-12-17,7291.96,250
2007-12-24,12813.24,313
2007-12-31,191.8,3
2007-12-31,1838.45,60
2008-01-07,5866.86,177
2008-01-14,6429.57,206
2008-01-21,8678.77,286
2008-01-28,4167.37,128
2008-01-28,826.23,28
2008-02-04,6314.78,246
2008-02-11,10472.98,326
2008-02-18,7918.02,203
2008-02-25,5137.51,200
2008-02-25,903.78,23
2008-03-03,7673.05,288
2008-03-10,4343.8,124
2008-03-17,8112.31,203
2008-03-24,10416.97,389
2008-03-31,2223.52,160
2008-03-31,8072.14,269
2008-04-07,8749.44,313
2008-04-14,6093.43,157
2008-04-21,7732.51,244
2008-04-28,3745.72,105
2008-04-28,2450.58,67
2008-05-05,8066.75,258
2008-05-12,7230.91,237
2008-05-19,8080.74,265
2008-05-26,6561.35,184
2008-06-02,7007.43,247
2008-06-09,9467.75,312
2008-06-16,8570.11,326
2008-06-23,9278.15,296
2008-06-30,2112.88,66
2008-06-30,4722.83,146
2008-07-07,9338.59,295
2008-07-14,10700.75,495
2008-07-21,7910.19,254
2008-07-28,7208.03,337
2008-07-28,1020.27,26
2008-08-04,6034,181
2008-08-11,8620.77,415
2008-08-18,6548.22,202
2008-08-25,6689.16,240
2008-09-01,4490.09,166
2008-09-08,5146.23,133
2008-09-15,8455.88,256
2008-09-22,11401.65,494
2008-09-29,1373.22,35
2008-09-29,2596.71,178
2008-10-06,5159.75,142
2008-10-13,5874.58,142
2008-10-20,4965.32,107
2008-10-27,6486.15,266
2008-11-03,3750.42,89
2008-11-10,6410.52,176
2008-11-17,5246.42,143
2008-11-24,2452.37,64
2008-12-01,5965.4,149
2008-12-08,4569.98,121
2008-12-15,5077.96,166
2008-12-22,1938.32,75
2008-12-29,2138.09,90
2008-12-29,756.92,27
2009-01-05,6308.17,192
2009-01-12,5110.4,141
2009-01-19,6298.37,233
2009-01-26,3572.2,101
2009-02-02,4171.12,167
2009-02-09,4883.19,232
2009-02-16,5376.05,248
2009-02-23,9159.31,308
2009-03-02,6976.73,252
2009-03-09,6465.53,190
2009-03-16,5604.9,255
2009-03-23,4898.28,114
2009-03-30,1620.02,38
2009-03-30,3175.38,141
2009-04-06,6969.2,242
2009-04-13,7912.89,279
2009-04-20,6386.68,214
2009-04-27,2016.79,53
2009-04-27,1713.71,130
2009-05-04,6802.54,175
2009-05-11,6579.93,190
2009-05-18,7404.28,179
2009-05-25,6664.57,263
2009-06-01,6274.15,217
2009-06-08,5951.56,181
2009-06-15,9921.05,288
2009-06-22,7034.66,228
2009-06-29,2058.76,162
2009-06-29,3850.53,116
2009-07-06,4501.18,144
2009-07-13,6182.88,196
2009-07-20,6378.22,238
2009-07-27,5282.88,230
2009-08-03,7981.7,258
2009-08-10,14504.74,1306
2009-08-17,7384.14,326
2009-08-24,10959.08,431
2009-08-31,1997.28,75
2009-08-31,6681.19,340
2009-09-07,5828.82,174
2009-09-14,5176.86,182
2009-09-21,4644.07,187
2009-09-28,4639.87,195
